Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Krebs gesamt (C00-C97 ohne C44);0 - 44;weiblich;1;19.067;19.428;19.345;20.059;20.072;19.832;19.827;19.199;18.851;18.456;17.921;17.759;17.256;17.123;16.789;16.429
Krebs gesamt (C00-C97 ohne C44);0 - 44;männlich;1;12.940;12.837;13.154;13.132;12.718;12.690;12.670;12.131;11.784;11.765;11.476;11.425;10.949;10.762;10.584;10.393
Krebs gesamt (C00-C97 ohne C44);45 - 54;weiblich;1;23.427;23.880;24.902;26.714;28.913;30.055;30.016;30.375;30.842;31.148;31.036;31.066;30.345;29.465;28.992;27.364
Krebs gesamt (C00-C97 ohne C44);45 - 54;männlich;1;17.792;18.135;19.378;20.278;20.731;21.142;21.697;21.579;21.034;21.446;21.423;20.775;20.050;19.764;18.838;17.886
Krebs gesamt (C00-C97 ohne C44);55 - 64;weiblich;1;37.275;36.710;36.622;37.694;41.002;41.119;39.639;40.020;40.219;40.905;40.521;40.988;41.574;41.669;42.078;42.485
Krebs gesamt (C00-C97 ohne C44);55 - 64;männlich;1;49.626;47.713;47.991;48.641;47.778;46.076;46.479;47.186;46.729;45.890;45.931;46.635;47.281;47.948;48.082;48.266
Krebs gesamt (C00-C97 ohne C44);65 - 74;weiblich;1;44.709;46.284;47.935;51.437;54.448;54.867;52.832;51.875;49.980;50.080;48.707;47.785;45.282;46.089;44.563;43.866
Krebs gesamt (C00-C97 ohne C44);65 - 74;männlich;1;70.272;71.487;76.912;81.763;81.841;82.004;79.584;78.060;74.918;71.369;68.629;67.175;65.664;65.487;64.645;65.044
Krebs gesamt (C00-C97 ohne C44);75 und älter;weiblich;1;52.523;54.057;54.650;56.756;56.991;58.103;59.457;59.327;60.277;59.856;61.692;62.906;63.435;64.058;63.404;63.443
Krebs gesamt (C00-C97 ohne C44);75 und älter;männlich;1;45.080;46.960;50.181;54.669;55.762;57.407;60.276;63.157;62.106;62.775;64.945;67.745;68.781;70.858;72.006;73.675
Mundhöhle und Rachen (C00-C14);0 - 44;weiblich;1;238;227;212;257;217;233;205;236;183;205;193;202;203;222;229;220
Mundhöhle und Rachen (C00-C14);0 - 44;männlich;1;606;630;639;651;617;609;580;504;463;429;387;412;380;378;370;370
Mundhöhle und Rachen (C00-C14);45 - 54;weiblich;1;486;481;472;603;550;602;588;662;572;638;586;658;602;612;570;579
Mundhöhle und Rachen (C00-C14);45 - 54;männlich;1;1.742;1.811;1.995;2.193;2.067;2.169;2.096;2.104;1.893;1.935;1.804;1.794;1.664;1.606;1.486;1.366
Mundhöhle und Rachen (C00-C14);55 - 64;weiblich;1;815;696;746;807;800;832;869;968;933;999;1.000;1.082;1.020;1.067;1.092;1.124
Mundhöhle und Rachen (C00-C14);55 - 64;männlich;1;2.503;2.454;2.542;2.640;2.761;2.791;2.704;3.089;2.902;3.018;3.022;3.107;3.030;2.961;2.843;2.829
Mundhöhle und Rachen (C00-C14);65 - 74;weiblich;1;737;679;808;793;851;821;912;902;933;954;947;994;894;947;959;994
Mundhöhle und Rachen (C00-C14);65 - 74;männlich;1;1.820;1.838;2.069;2.101;2.247;2.304;2.217;2.338;2.231;2.222;2.268;2.267;2.301;2.211;2.250;2.173
Mundhöhle und Rachen (C00-C14);75 und älter;weiblich;1;645;648;562;705;736;681;750;893;910;925;874;970;931;1.070;1.022;1.101
Mundhöhle und Rachen (C00-C14);75 und älter;männlich;1;631;716;711;793;795;912;1.098;1.090;1.093;1.173;1.210;1.344;1.406;1.456;1.526;1.629
Speiseröhre (C15);0 - 44;weiblich;1;20;22;23;18;19;20;25;21;20;21;27;19;20;22;23;19
Speiseröhre (C15);0 - 44;männlich;1;98;110;110;102;108;94;117;90;78;79;104;85;79;76;52;54
Speiseröhre (C15);45 - 54;weiblich;1;77;79;80;77;77;93;103;86;118;106;106;109;109;93;101;64
Speiseröhre (C15);45 - 54;männlich;1;474;522;517;489;524;563;571;522;505;584;604;479;495;434;428;398
Speiseröhre (C15);55 - 64;weiblich;1;162;205;172;178;213;201;229;235;228;214;244;261;275;250;281;203
Speiseröhre (C15);55 - 64;männlich;1;1.072;979;1.002;949;1.014;1.029;1.031;1.018;1.023;1.120;1.195;1.193;1.227;1.129;1.152;1.088
Speiseröhre (C15);65 - 74;weiblich;1;215;218;249;229;249;298;316;301;334;295;316;391;369;330;409;284
Speiseröhre (C15);65 - 74;männlich;1;973;959;1.017;1.157;1.149;1.218;1.100;1.140;1.156;1.211;1.364;1.231;1.271;1.190;1.147;1.134
